"","Nombre","LinkProducto","PrecioProducto"
"1","Consola Microsoft XBOX Series X - 1 Tb - SNIPER / 161617","https://www.cupoclick.cl/collections/todos/products/consola-microsoft-xbox-series-x-1-tb-sniper","           799990    899990    "
"2","Kit Gata Eléctrica Con Llave De Impacto 12V / JG902","https://www.cupoclick.cl/collections/todos/products/kit-gata-electrica-con-llave-de-impacto-12v","           129990    149990    "
"3","Caja De Pastillas De Colágeno Efervescentes Para Mascarillas","https://www.cupoclick.cl/collections/todos/products/caja-con-pastillas-para-mascarillas","           3990    6990    "
"4","Espuma Limpiadora Flamenco","https://www.cupoclick.cl/collections/todos/products/espuma-limpiadora-flamenco","           4990  "
"5","Pimentero Madera Wayu / 343932","https://www.cupoclick.cl/collections/todos/products/pimentero-madera-wayu-g12-jl044a","           14990  "
"6","Plato Aperitivo De Madera Wayu / 340887","https://www.cupoclick.cl/collections/todos/products/plato-aperitivo-de-madera-wayu-awl18-x009l","           8990  "
"7","Olla Enamel Iron Cast Wayu","https://www.cupoclick.cl/collections/todos/products/olla-enamel-iron-cast","           44990  "
"8","Set 4 Cuchillos Steak Knives Wayu / 31077","https://www.cupoclick.cl/collections/todos/products/set-4-cuchillos-steak-knives-wayu-31077","           12990    19990    "
"9","Olla De Hierro Fundido Antiadherente Honeycomb Wayu / 34461","https://www.cupoclick.cl/collections/todos/products/olla-de-hierro-fundido-antiadherente-wayu-34461","           26990  "
"10","Organizador Metálico De Microondas / 84583","https://www.cupoclick.cl/collections/todos/products/organizador-metalico-de-microondas-88458","           24990  "
"11","Smart Tv A96X Androir 10.1 / A96X / 26439","https://www.cupoclick.cl/collections/todos/products/smart-tv-a96x-androir-10-1-a96x-26439","           24990    29990    "
"12","Máquina De Mascarilla Facial Frutal / 48182","https://www.cupoclick.cl/collections/todos/products/maquina-de-mascarilla-facial-frutal-48182","           24990    29990    "
