"","Nombre","LinkProducto","PrecioProducto"
"1","Juego Bingo Tómbola Deluxe Con 75 Numeros","https://prodescuento.cl/juego-bingo-tombola-deluxe-con-75-numeros","10990"
"2","Lampara Piramide De Sal Rosa Del Himalaya","https://prodescuento.cl/lampara-piramide-de-sal-rosa-del-himalaya","20990"
"3","Camara Monitor Para Bebes Con Microfono y Vision Nocturna","https://prodescuento.cl/camara-monitor-para-bebes-con-microfono-y-vision-nocturna","39990"
"4","Masajeador Spa de Hidromasaje Para Pies Electrico","https://prodescuento.cl/masajeador-spa-de-hidromasaje-para-pies-electrico","29990"
"5","Kit De 8 Cámaras De Seguridad Cctv Interior Y Exterior","https://prodescuento.cl/kit-de-8-camaras-de-seguridad-cctv-interior-y-exterior","119990"
"6","Guillotina Metálica B4 Corta Papel Hasta 30 X 38 Cm","https://prodescuento.cl/guillotina-metalica-b4-corta-papel-hasta-30-x-38-cm","14990"
"7","Gaveta De Dinero Metálica 10 Compartimientos","https://prodescuento.cl/gaveta-de-dinero-metalica-10-compartimientos","39990"
"8","Limpiador Exfoliador y Removedor de Callos","https://prodescuento.cl/limpiador-exfoliador-y-removedor-de-callos","6990"
"9","Estante Escurridor Secador de Platos Para Fregaderos Simple","https://prodescuento.cl/estante-escurridor-secador-de-platos-para-fregaderos-simple","29990"
"10","Set de 5 Molde Cuadrado Antiadherente Desmontable Tortas Repostería","https://prodescuento.cl/set-de-5-molde-cuadrado-antiadherente-desmontable-tortas-reposteria","12990"
"11","Almohada De Peluche 2 En 1 Elije el Tuyo ","https://prodescuento.cl/almoaha-saco-de-dormir","12990"
